Country,Confirmed,Deaths,Recovered,Active,Recovery_rate,Death_rate,Continent,Population
South Sudan,2348,47,1175,1084,50.97613882863341,1.9956616052060738,Africa,11206572.0
Spain,272421,28432,150376,93613,55.19985610507266,10.436787178668311,Europe,46756648.0
Sri Lanka,2828,11,2136,673,75.61497326203208,0.39215686274509803,Asia,21422362.0
Sudan,11463,723,5988,4765,51.98704481792718,6.302521008403361,Africa,43943536.0
Suriname,1527,25,960,534,62.37356709372893,1.6183412002697235,South America,587154.0
Sweden,79793,5703,0,73695,0.0,7.179293406385792,Europe,10105596.0
Switzerland,34542,1979,31100,1599,89.62496736955072,5.737158105403602,Europe,8660952.0
Syria,698,42,0,634,0.0,5.934718100890208,Asia,17539600.0
Tajikistan,7278,61,6086,1147,83.31720801658604,0.82930200414651,Asia,9557468.0
Tanzania,509,21,183,305,35.952848722986246,4.12573673870334,Africa,59886383.0
Thailand,3303,58,3113,128,94.35850773430391,1.7591750075826509,Asia,69817894.0
Timor-Leste,24,0,0,24,0.0,0.0,Asia,1320812.0
Togo,880,18,615,249,69.45080091533181,2.059496567505721,Africa,8296582.0
Trinidad and Tobago,149,8,128,12,86.48648648648648,5.405405405405405,North America,1399950.0
Tunisia,1458,50,1172,248,79.51890034364261,3.436426116838488,Africa,11830801.0
Turkey,227938,5647,211451,10920,92.7098612891432,2.4799686369863316,Asia,84428331.0
Uganda,1141,2,990,140,87.41134751773049,0.1773049645390071,Africa,45867852.0
Ukraine,67931,1647,37519,28258,55.44592822224872,2.438297364969596,Europe,43705858.0
Uruguay,1212,36,954,216,79.11813643926789,2.9118136439267883,South America,3474956.0
Uzbekistan,21887,126,12243,9414,55.042670564383045,0.5705125182705455,Asia,33516027.0
Venezuela,16513,150,10172,5883,62.29046785088816,0.9131848886664998,South America,28427499.0
Vietnam,442,0,365,66,84.68677494199535,0.0,Asia,97425470.0
Western Sahara,10,1,8,1,80.0,10.0,Africa,598682.0
Yemen,1701,487,869,375,49.260792430514485,28.562980484920164,Asia,29886897.0
Zambia,4623,141,3280,1597,61.840949033391915,3.0755711775043935,Africa,18430129.0
Zimbabwe,2896,38,566,2126,20.04437869822485,1.3313609467455623,Africa,14883803.0
